,x,y,z
163,-54.738258,-12.490341,-28.075661
164,-52.653889,-12.490341,45.382362
165,-45.290901,-12.490341,-32.527107
166,-44.835865,-12.490341,50.952633
167,-37.353638,-12.490341,59.291992
168,-35.054863,-12.490341,-35.541321
169,-28.352306,-12.490341,64.809509
170,-24.739128,-12.490341,-32.111214
171,-20.098917,-12.490341,70.344971
172,-17.283669,-12.490341,-24.776052
173,-9.942448,-12.490341,69.770248
174,-9.443151,-12.490341,-15.799925
175,-2.326304,-12.490341,0.010354
176,-1.161559,-12.490341,63.632038
177,-1.141079,-12.490341,10.844687
178,-1.070922,-12.490341,31.867878
179,-0.876852,-12.490341,44.027542
180,-0.502884,-12.490341,21.20631
181,-0.236898,-12.490341,54.051746
182,-66.406898,-20.990341,2.063233
183,-64.840332,-20.990341,-8.367702
184,-63.000076,-20.990341,20.513075
185,-61.321934,-20.990341,-20.978287
186,-61.109688,-20.990341,30.24543
187,-56.943272,-20.990341,39.559898
188,-52.293335,-20.990341,-26.054285
189,-51.434124,-20.990341,48.703293
190,-41.407608,-20.990341,57.875828
191,-39.688618,-20.990341,-24.438637
192,-32.503365,-20.990341,63.338699
193,-29.574844,-20.990341,-27.693241
194,-23.730656,-20.990341,68.712494
195,-19.92658,-20.990341,-23.181499
196,-12.665385,-20.990341,-12.710465
197,-10.65631,-20.990341,70.778458
198,-4.689293,-20.990341,-5.752619
199,-2.739603,-20.990341,11.163177
200,-2.15929,-20.990341,65.099037
201,-1.738581,-20.990341,55.053905
202,-1.358399,-20.990341,21.069775
203,-0.260631,-20.990341,35.969757
204,-67.069763,-29.990341,-0.060094
205,-66.338768,-29.990341,-13.240057
206,-62.504425,-29.990341,11.936032
207,-62.112274,-29.990341,21.994986
208,-60.934471,-29.990341,32.527321
209,-58.408482,-29.990341,-22.115786
210,-55.677742,-29.990341,41.114494
211,-50.096138,-29.990341,49.993443
212,-47.593521,-29.990341,-24.962997
213,-43.010189,-29.990341,57.443497
214,-34.664406,-29.990341,-23.955919
215,-34.535858,-29.990341,63.153671
216,-24.046343,-29.990341,-21.147907
217,-23.929863,-29.990341,67.448692
218,-15.273293,-29.990341,-14.338641
219,-14.791623,-29.990341,71.089836
220,-10.342571,-29.990341,-5.800448
221,-6.763473,-29.990341,3.247966
